,CA,FT,CrT,CoT,GCT,BT,FPC
25/4/2050 17:00,-886,-579,-14114,-25832,-9756,-79072,0
25/4/2050 18:00,-886,-579,-14114,-25832,-9756,-79072,0
25/4/2050 19:00,-886,-579,-14114,-25832,-9756,-79072,0
25/4/2050 20:00,-886,-579,-14114,-25832,-9756,-79072,0
25/4/2050 21:00,-886,-579,-14114,-25832,-9756,-79072,0
25/4/2050 22:00,-886,-579,-14114,-25832,-9756,-79072,0
25/4/2050 23:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 00:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 01:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 02:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 03:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 04:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 05:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 06:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 07:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 08:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 09:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 10:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 11:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 12:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 13:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 14:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 15:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 16:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 17:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 18:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 19:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 20:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 21:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 22:00,-886,-579,-14114,-25832,-9756,-79072,0
26/4/2050 23:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 00:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 01:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 02:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 03:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 04:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 05:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 06:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 07:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 08:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 09:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 10:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 11:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 12:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 13:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 14:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 15:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 16:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 17:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 18:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 19:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 20:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 21:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 22:00,-886,-579,-14114,-25832,-9756,-79072,0
27/4/2050 23:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 00:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 01:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 02:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 03:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 04:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 05:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 06:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 07:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 08:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 09:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 10:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 11:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 12:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 13:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 14:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 15:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 16:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 17:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 18:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 19:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 20:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 21:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 22:00,-886,-579,-14114,-25832,-9756,-79072,0
28/4/2050 23:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 00:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 01:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 02:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 03:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 04:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 05:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 06:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 07:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 08:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 09:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 10:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 11:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 12:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 13:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 14:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 15:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 16:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 17:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 18:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 19:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 20:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 21:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 22:00,-886,-579,-14114,-25832,-9756,-79072,0
29/4/2050 23:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 00:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 01:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 02:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 03:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 04:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 05:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 06:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 07:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 08:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 09:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 10:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 11:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 12:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 13:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 14:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 15:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 16:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 17:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 18:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 19:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 20:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 21:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 22:00,-886,-579,-14114,-25832,-9756,-79072,0
30/4/2050 23:00,-886,-579,-14114,-25832,-9756,-79072,0
1/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
1/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
2/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
3/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
4/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
5/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
6/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
7/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
8/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
9/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
10/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 8:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 9:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 10:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 11:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 12:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 13:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 14:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 15:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 16:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 17:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 18:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 19:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 20:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 21:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 22:00,-886,-728,-18232,-24229,-9151,-74166,0
11/5/2050 23:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 0:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 1:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 2:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 3:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 4:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 5:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 6:00,-886,-728,-18232,-24229,-9151,-74166,0
12/5/2050 7:00,-886,-728,-18232,-24229,-9151,-74166,0
